label,responseCode,responseMessage,threadName,success
DS-__jm__LC__idx=0,200,OK,TG-STARTNEXTLOOP 4-1,true
JSS_FailsIfCptHigherThan1,200,OK,TG-STARTNEXTLOOP 4-1,true
Debug Sampler,200,OK,TG-STARTNEXTLOOP 4-1,true
sc2,200,"Number of samples in transaction : 3, number of failing samples : 0",TG-STARTNEXTLOOP 4-1,true
DS-__jm__LC__idx=1,200,OK,TG-STARTNEXTLOOP 4-1,true
JSS_FailsIfCptHigherThan1,200,OK,TG-STARTNEXTLOOP 4-1,true
Debug Sampler,200,OK,TG-STARTNEXTLOOP 4-1,true
sc2,200,"Number of samples in transaction : 3, number of failing samples : 0",TG-STARTNEXTLOOP 4-1,true
DS-__jm__LC__idx=2,200,OK,TG-STARTNEXTLOOP 4-1,true
JSS_FailsIfCptHigherThan1,200,OK,TG-STARTNEXTLOOP 4-1,false
sc2,200,"Number of samples in transaction : 2, number of failing samples : 1",TG-STARTNEXTLOOP 4-1,false
TC,200,"Number of samples in transaction : 9, number of failing samples : 1",TG-STARTNEXTLOOP 4-1,false
